Componentes	Quantidade	Custo Unitário R$	Custo Total R$	Adquirido
Raspberry Pi 3B	1	R$ 500,00	R$ 500,00	Sim
Motor de passo NEMA 17	2	R$ 60,00	R$ 120,00	Sim
Driver de motor de passo	2	R$ 10,00	R$ 20,00	Sim
Kit 20 Placas MDF (150x210x3 mm)	1	R$ 32,00	R$ 32,00	Não
Placa de fenolite	1	R$ 10,00	R$ 10,00	Sim
Câmera Logitech 1080p	1	R$ 160,00	R$ 160,00	Sim
Placa de acrílico	1	R$ 30,00	R$ 30,00	Não
Resistores (cartela)	1	R$ 0,50	R$ 0,50	Sim
LEDs	6	R$ 0,30	R$ 3,00	Sim
MOSFET IRLZ44N	1	R$ 13,70	R$ 13,70	Sim
Regulador de tensão L7805	1	R$ 3,30	R$ 3,30	Sim
				
Valor total			R$ 892,50	
